ID,Airline.ID,Destination.Airport.ID,Source.Airport.ID,Airline,Source.Airport,Destination.Airport,Codeshare,Stops,Equipment,Source_Name,Source_City,Source_Country,Source_IATA,Source_ICAO,Source_Lat,Source_Long,Source_Alt,Source_TZ,Source_DST,dest_Name,dest_City,dest_Country,dest_IATA,dest_ICAO,dest_Lat,dest_Long,dest_Alt,dest_TZ,dest_DST,Airline_Name,Airline_Alias,Airline_IATA,Airline_ICAO,Airline_Callsign,Airline_Country,Airline_Active
15231,2220,1107,260,ET,ABV,ADD,,0,77L,Nnamdi Azikiwe Intl,Abuja,Nigeria,ABV,DNAA,9.006792,7.263172,1123,1,N,Bole Intl,Addis Ababa,Ethiopia,ADD,HAAB,8.977889,38.799319,7656,3,U,Ethiopian Airlines,\N,ET,ETH,ETHIOPIAN,Ethiopia,Y
15235,2220,253,273,ET,LOS,ABJ,Y,0,DH8,Murtala Muhammed,Lagos,Nigeria,LOS,DNMM,6.577369,3.321156,135,1,N,Abidjan Felix Houphouet Boigny Intl,Abidjan,Cote d'Ivoire,ABJ,DIAP,5.261386,-3.926294,21,0,N,Ethiopian Airlines,\N,ET,ETH,ETHIOPIAN,Ethiopia,Y
15243,2220,273,1107,ET,ADD,LOS,,0,77L,Bole Intl,Addis Ababa,Ethiopia,ADD,HAAB,8.977889,38.799319,7656,3,U,Murtala Muhammed,Lagos,Nigeria,LOS,DNMM,6.577369,3.321156,135,1,N,Ethiopian Airlines,\N,ET,ETH,ETHIOPIAN,Ethiopia,Y
15272,2220,273,970,ET,LBV,LOS,Y,0,73W,Leon M Ba,Libreville,Gabon,LBV,FOOL,0.4586,9.412283,39,1,N,Murtala Muhammed,Lagos,Nigeria,LOS,DNMM,6.577369,3.321156,135,1,N,Ethiopian Airlines,\N,ET,ETH,ETHIOPIAN,Ethiopia,Y
15288,2220,260,298,ET,LFW,ABV,Y,0,DH8,Gnassingbe Eyadema Intl,Lome,Togo,LFW,DXXX,6.165611,1.254511,72,1,N,Nnamdi Azikiwe Intl,Abuja,Nigeria,ABV,DNAA,9.006792,7.263172,1123,1,N,Ethiopian Airlines,\N,ET,ETH,ETHIOPIAN,Ethiopia,Y
15308,2220,260,280,ET,NIM,ABV,Y,0,DH8,Diori Hamani,Niamey,Niger,NIM,DRRN,13.481547,2.183614,732,1,N,Nnamdi Azikiwe Intl,Abuja,Nigeria,ABV,DNAA,9.006792,7.263172,1123,1,N,Ethiopian Airlines,\N,ET,ETH,ETHIOPIAN,Ethiopia,Y
15321,2220,260,1107,ET,ADD,ABV,,0,77L,Bole Intl,Addis Ababa,Ethiopia,ADD,HAAB,8.977889,38.799319,7656,3,U,Nnamdi Azikiwe Intl,Abuja,Nigeria,ABV,DNAA,9.006792,7.263172,1123,1,N,Ethiopian Airlines,\N,ET,ETH,ETHIOPIAN,Ethiopia,Y
15344,2220,298,273,ET,LOS,LFW,,0,73W,Murtala Muhammed,Lagos,Nigeria,LOS,DNMM,6.577369,3.321156,135,1,N,Gnassingbe Eyadema Intl,Lome,Togo,LFW,DXXX,6.165611,1.254511,72,1,N,Ethiopian Airlines,\N,ET,ETH,ETHIOPIAN,Ethiopia,Y
15345,2220,280,260,ET,ABV,NIM,Y,0,DH8,Nnamdi Azikiwe Intl,Abuja,Nigeria,ABV,DNAA,9.006792,7.263172,1123,1,N,Diori Hamani,Niamey,Niger,NIM,DRRN,13.481547,2.183614,732,1,N,Ethiopian Airlines,\N,ET,ETH,ETHIOPIAN,Ethiopia,Y
15351,2220,273,253,ET,ABJ,LOS,Y,0,DH8,Abidjan Felix Houphouet Boigny Intl,Abidjan,Cote d'Ivoire,ABJ,DIAP,5.261386,-3.926294,21,0,N,Murtala Muhammed,Lagos,Nigeria,LOS,DNMM,6.577369,3.321156,135,1,N,Ethiopian Airlines,\N,ET,ETH,ETHIOPIAN,Ethiopia,Y
15363,2220,999,260,ET,ABV,NDJ,Y,0,DH8,Nnamdi Azikiwe Intl,Abuja,Nigeria,ABV,DNAA,9.006792,7.263172,1123,1,N,Ndjamena Hassan Djamous,N'djamena,Chad,NDJ,FTTJ,12.133689,15.034019,968,1,N,Ethiopian Airlines,\N,ET,ETH,ETHIOPIAN,Ethiopia,Y
15410,2222,273,2179,EY,AUH,LOS,,0,332,Abu Dhabi Intl,Abu Dhabi,United Arab Emirates,AUH,OMAA,24.432972,54.651138,88,4,U,Murtala Muhammed,Lagos,Nigeria,LOS,DNMM,6.577369,3.321156,135,1,N,Etihad Airways,\N,EY,ETD,ETIHAD,United Arab Emirates,Y
